spot1,spot2,date,amount
DC10,DC5,2021/6/14,5371
DC10,DC9,2021/6/14,475
DC3,DC5,2021/6/15,7
DC3,DC10,2021/6/15,6
DC5,DC3,2021/6/15,16
DC5,DC10,2021/6/15,135
DC7,DC3,2021/6/15,392
DC7,DC5,2021/6/15,356
DC7,DC9,2021/6/15,4017
DC7,DC10,2021/6/15,6
DC9,DC3,2021/6/15,4296
DC9,DC5,2021/6/15,13238
DC9,DC10,2021/6/15,147
DC10,DC3,2021/6/15,6622
DC10,DC5,2021/6/15,6139
DC10,DC9,2021/6/15,318
DC3,DC5,2021/6/16,19
DC3,DC10,2021/6/16,12
DC5,DC3,2021/6/16,84
DC5,DC9,2021/6/16,2
DC5,DC10,2021/6/16,240
DC7,DC3,2021/6/16,294
DC7,DC5,2021/6/16,485
DC7,DC9,2021/6/16,3645
DC7,DC10,2021/6/16,4
DC9,DC3,2021/6/16,11337
DC9,DC5,2021/6/16,7551
DC9,DC10,2021/6/16,354
DC10,DC3,2021/6/16,5956
DC10,DC5,2021/6/16,7062
DC10,DC9,2021/6/16,286
DC3,DC5,2021/6/17,3
DC3,DC10,2021/6/17,21
DC5,DC3,2021/6/17,54
DC5,DC9,2021/6/17,1
DC5,DC10,2021/6/17,488
DC7,DC3,2021/6/17,300
DC7,DC5,2021/6/17,672
DC7,DC9,2021/6/17,2945
DC7,DC10,2021/6/17,5
DC9,DC3,2021/6/17,9050
DC9,DC5,2021/6/17,10257
DC9,DC10,2021/6/17,190
DC10,DC3,2021/6/17,4611
DC10,DC5,2021/6/17,7228
DC10,DC9,2021/6/17,650
DC3,DC5,2021/6/18,15
DC3,DC9,2021/6/18,3
DC3,DC10,2021/6/18,8
DC5,DC3,2021/6/18,160
DC5,DC9,2021/6/18,9
DC5,DC10,2021/6/18,621
DC7,DC3,2021/6/18,373
DC7,DC5,2021/6/18,462
DC7,DC9,2021/6/18,2940
DC7,DC10,2021/6/18,9
DC9,DC3,2021/6/18,15808
DC9,DC5,2021/6/18,8427
DC9,DC10,2021/6/18,982
DC10,DC3,2021/6/18,6188
DC10,DC5,2021/6/18,15921
DC10,DC9,2021/6/18,987
DC3,DC5,2021/6/19,48
DC3,DC9,2021/6/19,2
DC3,DC10,2021/6/19,25
DC5,DC3,2021/6/19,106
DC5,DC9,2021/6/19,12
DC5,DC10,2021/6/19,932
DC7,DC3,2021/6/19,290
DC7,DC5,2021/6/19,394
DC7,DC9,2021/6/19,2057
DC7,DC10,2021/6/19,8
DC9,DC3,2021/6/19,4804
DC9,DC5,2021/6/19,4622
DC9,DC10,2021/6/19,270
DC10,DC3,2021/6/19,5999
DC10,DC5,2021/6/19,5694
DC10,DC9,2021/6/19,389
DC3,DC5,2021/6/20,7
DC3,DC10,2021/6/20,29
DC5,DC3,2021/6/20,123
DC5,DC9,2021/6/20,8
DC5,DC10,2021/6/20,459
DC7,DC3,2021/6/20,257
DC7,DC5,2021/6/20,297
DC7,DC9,2021/6/20,3669
DC7,DC10,2021/6/20,22
DC9,DC3,2021/6/20,6557
DC9,DC5,2021/6/20,5795
DC9,DC10,2021/6/20,418
DC10,DC3,2021/6/20,4125
DC10,DC5,2021/6/20,11229
DC10,DC9,2021/6/20,389
DC3,DC5,2021/6/21,7
DC3,DC10,2021/6/21,2
DC5,DC3,2021/6/21,96
DC5,DC9,2021/6/21,11
DC5,DC10,2021/6/21,863
DC7,DC3,2021/6/21,470
DC7,DC5,2021/6/21,369
DC7,DC9,2021/6/21,3523
DC7,DC10,2021/6/21,5
DC9,DC3,2021/6/21,13393
DC9,DC5,2021/6/21,9176
DC9,DC10,2021/6/21,437
DC10,DC3,2021/6/21,4531
DC10,DC5,2021/6/21,14394
DC10,DC9,2021/6/21,309
DC5,DC3,2021/6/22,84
DC5,DC9,2021/6/22,14
DC5,DC10,2021/6/22,859
DC7,DC3,2021/6/22,342
DC7,DC5,2021/6/22,367
DC7,DC9,2021/6/22,3532
DC7,DC10,2021/6/22,6
DC9,DC3,2021/6/22,9688
DC9,DC5,2021/6/22,12297
DC9,DC10,2021/6/22,347
DC10,DC3,2021/6/22,9145
DC10,DC5,2021/6/22,12555
DC10,DC9,2021/6/22,356
DC3,DC5,2021/6/23,8
DC3,DC10,2021/6/23,2
DC5,DC3,2021/6/23,66
DC5,DC10,2021/6/23,288
DC7,DC3,2021/6/23,537
DC7,DC5,2021/6/23,425
DC7,DC9,2021/6/23,3269
DC7,DC10,2021/6/23,6
DC9,DC3,2021/6/23,12646
DC9,DC5,2021/6/23,9516
DC9,DC10,2021/6/23,324
DC10,DC3,2021/6/23,4635
DC10,DC5,2021/6/23,15920
DC10,DC9,2021/6/23,295
DC3,DC5,2021/6/24,5
DC3,DC10,2021/6/24,5
DC5,DC3,2021/6/24,33
DC5,DC9,2021/6/24,1
DC5,DC10,2021/6/24,607
DC7,DC3,2021/6/24,540
DC7,DC5,2021/6/24,610
DC7,DC9,2021/6/24,3014
DC7,DC10,2021/6/24,7
DC9,DC3,2021/6/24,15328
DC9,DC5,2021/6/24,7649
DC9,DC10,2021/6/24,141
DC10,DC3,2021/6/24,13684
DC10,DC5,2021/6/24,6055
DC10,DC9,2021/6/24,474
DC3,DC5,2021/6/25,4
DC3,DC10,2021/6/25,4
DC5,DC3,2021/6/25,61
DC5,DC10,2021/6/25,72
DC7,DC3,2021/6/25,356
DC7,DC5,2021/6/25,419
DC7,DC9,2021/6/25,2832
DC7,DC10,2021/6/25,8
DC9,DC3,2021/6/25,6122
DC9,DC5,2021/6/25,4374
DC9,DC10,2021/6/25,343
DC10,DC3,2021/6/25,7198
DC10,DC5,2021/6/25,7056
DC10,DC9,2021/6/25,2222
DC3,DC5,2021/6/26,7
DC3,DC10,2021/6/26,1
DC5,DC3,2021/6/26,42
DC5,DC9,2021/6/26,8
DC5,DC10,2021/6/26,775
DC7,DC3,2021/6/26,283
DC7,DC5,2021/6/26,511
DC7,DC9,2021/6/26,3225
DC7,DC10,2021/6/26,7
DC9,DC3,2021/6/26,4409
DC9,DC5,2021/6/26,6962
DC9,DC10,2021/6/26,118
DC10,DC3,2021/6/26,3081
DC10,DC5,2021/6/26,5525
DC10,DC9,2021/6/26,503
DC3,DC5,2021/6/27,3
DC3,DC10,2021/6/27,4
DC5,DC3,2021/6/27,77
DC5,DC9,2021/6/27,4
DC5,DC10,2021/6/27,377
DC7,DC3,2021/6/27,326
DC7,DC5,2021/6/27,283
DC7,DC9,2021/6/27,1200
DC7,DC10,2021/6/27,3
DC9,DC3,2021/6/27,6596
DC9,DC5,2021/6/27,7059
DC9,DC10,2021/6/27,320
DC10,DC3,2021/6/27,4541
DC10,DC5,2021/6/27,6829
DC10,DC9,2021/6/27,1333
DC3,DC5,2021/6/28,1
DC5,DC3,2021/6/28,32
DC5,DC10,2021/6/28,266
DC7,DC3,2021/6/28,258
DC7,DC5,2021/6/28,880
DC7,DC9,2021/6/28,2222
DC7,DC10,2021/6/28,11
DC9,DC3,2021/6/28,4734
DC9,DC5,2021/6/28,6262
DC9,DC10,2021/6/28,156
DC10,DC3,2021/6/28,7663
DC10,DC5,2021/6/28,4365
DC10,DC9,2021/6/28,888
DC3,DC10,2021/6/29,5
DC5,DC3,2021/6/29,10
DC5,DC10,2021/6/29,22
DC7,DC3,2021/6/29,375
DC7,DC5,2021/6/29,754
DC7,DC9,2021/6/29,2273
DC9,DC3,2021/6/29,5183
DC9,DC5,2021/6/29,4602
DC9,DC10,2021/6/29,1105
DC10,DC3,2021/6/29,6635
DC10,DC5,2021/6/29,6322
DC10,DC9,2021/6/29,922
DC3,DC5,2021/6/30,3
DC3,DC9,2021/6/30,3
DC3,DC10,2021/6/30,3
DC5,DC3,2021/6/30,8
DC5,DC10,2021/6/30,3
DC7,DC3,2021/6/30,319
DC7,DC5,2021/6/30,883
DC7,DC9,2021/6/30,2722
DC7,DC10,2021/6/30,4
DC9,DC3,2021/6/30,7330
DC9,DC5,2021/6/30,6869
DC9,DC10,2021/6/30,66
DC10,DC3,2021/6/30,7864
DC10,DC5,2021/6/30,20619
DC10,DC9,2021/6/30,8615
DC3,DC5,2021/7/1,13
DC3,DC10,2021/7/1,5
DC5,DC3,2021/7/1,5
DC5,DC10,2021/7/1,27
DC7,DC3,2021/7/1,310
DC7,DC5,2021/7/1,386
DC7,DC9,2021/7/1,1656
DC7,DC10,2021/7/1,7
DC9,DC3,2021/7/1,14767
DC9,DC5,2021/7/1,6837
DC9,DC10,2021/7/1,302
DC10,DC3,2021/7/1,7093
DC10,DC5,2021/7/1,10736
DC10,DC9,2021/7/1,398
DC3,DC5,2021/7/2,5
DC3,DC10,2021/7/2,3
DC5,DC3,2021/7/2,1
DC7,DC3,2021/7/2,489
DC7,DC5,2021/7/2,250
DC7,DC9,2021/7/2,2840
DC7,DC10,2021/7/2,7
DC9,DC3,2021/7/2,13952
DC9,DC5,2021/7/2,6086
DC9,DC10,2021/7/2,135
DC10,DC3,2021/7/2,7904
DC10,DC5,2021/7/2,4783
DC10,DC9,2021/7/2,639
DC3,DC5,2021/7/3,3
DC3,DC10,2021/7/3,1
DC5,DC3,2021/7/3,1
DC7,DC3,2021/7/3,501
DC7,DC5,2021/7/3,508
DC7,DC9,2021/7/3,3726
DC7,DC10,2021/7/3,8
DC9,DC3,2021/7/3,5492
DC9,DC5,2021/7/3,6352
DC9,DC10,2021/7/3,77
DC10,DC3,2021/7/3,6849
DC10,DC5,2021/7/3,4934
DC10,DC9,2021/7/3,447
DC3,DC5,2021/7/4,3
DC5,DC3,2021/7/4,4
DC5,DC9,2021/7/4,2
DC5,DC10,2021/7/4,7
DC7,DC3,2021/7/4,155
DC7,DC5,2021/7/4,400
DC7,DC9,2021/7/4,1148
DC7,DC10,2021/7/4,4
DC9,DC3,2021/7/4,5120
DC9,DC5,2021/7/4,5313
DC9,DC10,2021/7/4,173
DC10,DC3,2021/7/4,6837
DC10,DC5,2021/7/4,5722
DC10,DC9,2021/7/4,411
DC3,DC5,2021/7/5,1
DC3,DC10,2021/7/5,5
DC5,DC3,2021/7/5,7
DC5,DC10,2021/7/5,1
DC7,DC3,2021/7/5,478
DC7,DC5,2021/7/5,291
DC7,DC9,2021/7/5,1655
DC7,DC10,2021/7/5,4
DC9,DC3,2021/7/5,13711
DC9,DC4,2021/7/5,11
DC9,DC5,2021/7/5,11193
DC9,DC10,2021/7/5,133
DC10,DC3,2021/7/5,4863
DC10,DC5,2021/7/5,4792
DC10,DC9,2021/7/5,551
DC3,DC5,2021/7/6,7
DC3,DC9,2021/7/6,2
DC3,DC10,2021/7/6,145
DC5,DC3,2021/7/6,8
DC5,DC9,2021/7/6,2
DC5,DC10,2021/7/6,127
DC7,DC3,2021/7/6,370
DC7,DC5,2021/7/6,363
DC7,DC9,2021/7/6,1211
DC7,DC10,2021/7/6,15
DC9,DC3,2021/7/6,12168
DC9,DC5,2021/7/6,11370
DC9,DC10,2021/7/6,218
DC10,DC3,2021/7/6,13869
DC10,DC5,2021/7/6,9753
DC10,DC9,2021/7/6,769
DC3,DC5,2021/7/7,2
DC3,DC9,2021/7/7,2
DC3,DC10,2021/7/7,29
DC5,DC3,2021/7/7,79
DC5,DC9,2021/7/7,6
DC5,DC10,2021/7/7,595
DC7,DC3,2021/7/7,865
DC7,DC5,2021/7/7,321
DC7,DC9,2021/7/7,2522
DC9,DC3,2021/7/7,15301
DC9,DC5,2021/7/7,5171
DC9,DC10,2021/7/7,237
DC10,DC3,2021/7/7,13495
DC10,DC5,2021/7/7,10084
DC10,DC9,2021/7/7,292
DC3,DC5,2021/7/8,70
DC3,DC9,2021/7/8,5
DC3,DC10,2021/7/8,16
DC5,DC3,2021/7/8,5
DC5,DC10,2021/7/8,142
DC7,DC3,2021/7/8,334
DC7,DC5,2021/7/8,392
DC7,DC9,2021/7/8,3286
DC7,DC10,2021/7/8,1
DC9,DC3,2021/7/8,4344
DC9,DC5,2021/7/8,7278
DC9,DC10,2021/7/8,214
DC10,DC3,2021/7/8,4506
DC10,DC5,2021/7/8,7346
DC10,DC9,2021/7/8,567
DC3,DC5,2021/7/9,59
DC3,DC9,2021/7/9,2
DC3,DC10,2021/7/9,185
DC5,DC3,2021/7/9,84
DC5,DC10,2021/7/9,188
DC7,DC3,2021/7/9,288
DC7,DC5,2021/7/9,319
DC7,DC9,2021/7/9,2625
DC9,DC3,2021/7/9,9801
DC9,DC4,2021/7/9,2
DC9,DC5,2021/7/9,4644
DC9,DC10,2021/7/9,550
DC10,DC3,2021/7/9,9623
DC10,DC5,2021/7/9,6262
DC10,DC9,2021/7/9,322
DC3,DC5,2021/7/10,100
DC3,DC9,2021/7/10,2
DC3,DC10,2021/7/10,333
DC5,DC3,2021/7/10,32
DC5,DC9,2021/7/10,1
DC5,DC10,2021/7/10,390
DC7,DC3,2021/7/10,383
DC7,DC5,2021/7/10,221
DC7,DC8,2021/7/10,2
DC7,DC9,2021/7/10,1844
DC7,DC10,2021/7/10,10
DC9,DC3,2021/7/10,7022
DC9,DC5,2021/7/10,4730
DC9,DC8,2021/7/10,1
DC9,DC10,2021/7/10,219
DC10,DC3,2021/7/10,5671
DC10,DC5,2021/7/10,4716
DC10,DC9,2021/7/10,286
DC3,DC5,2021/7/11,55
DC3,DC10,2021/7/11,206
DC5,DC3,2021/7/11,123
DC5,DC10,2021/7/11,396
DC7,DC3,2021/7/11,354
DC7,DC4,2021/7/11,1
DC7,DC5,2021/7/11,288
DC7,DC9,2021/7/11,3018
DC7,DC10,2021/7/11,7
DC9,DC3,2021/7/11,11059
DC9,DC4,2021/7/11,2
DC9,DC5,2021/7/11,6544
DC9,DC8,2021/7/11,3
DC9,DC10,2021/7/11,207
DC10,DC3,2021/7/11,6615
DC10,DC4,2021/7/11,3
DC10,DC5,2021/7/11,5842
DC10,DC9,2021/7/11,343
DC3,DC5,2021/7/12,13
DC3,DC10,2021/7/12,7
DC5,DC3,2021/7/12,18
DC5,DC10,2021/7/12,25
DC7,DC3,2021/7/12,260
DC7,DC5,2021/7/12,418
DC7,DC8,2021/7/12,4
DC7,DC9,2021/7/12,1025
DC7,DC10,2021/7/12,2
DC9,DC3,2021/7/12,4701
DC9,DC4,2021/7/12,10
DC9,DC5,2021/7/12,8070
DC9,DC8,2021/7/12,18
DC9,DC10,2021/7/12,176
DC10,DC3,2021/7/12,6125
DC10,DC4,2021/7/12,16
DC10,DC5,2021/7/12,6285
DC10,DC8,2021/7/12,5
DC10,DC9,2021/7/12,290
DC3,DC5,2021/7/13,29
DC5,DC3,2021/7/13,3
DC5,DC10,2021/7/13,158
DC7,DC3,2021/7/13,795
DC7,DC4,2021/7/13,5
DC7,DC5,2021/7/13,356
DC7,DC8,2021/7/13,1
DC7,DC9,2021/7/13,3964
DC7,DC10,2021/7/13,1
DC9,DC3,2021/7/13,12795
DC9,DC4,2021/7/13,11
DC9,DC5,2021/7/13,4867
DC9,DC8,2021/7/13,19
DC9,DC10,2021/7/13,208
DC10,DC3,2021/7/13,6419
DC10,DC4,2021/7/13,7
DC10,DC5,2021/7/13,11468
DC10,DC8,2021/7/13,3
DC10,DC9,2021/7/13,397
DC3,DC5,2021/7/14,3
DC3,DC10,2021/7/14,18
DC5,DC3,2021/7/14,7
DC5,DC10,2021/7/14,32
DC7,DC3,2021/7/14,304
DC7,DC4,2021/7/14,16
DC7,DC5,2021/7/14,568
DC7,DC8,2021/7/14,3
DC7,DC9,2021/7/14,1398
DC7,DC10,2021/7/14,3
DC9,DC3,2021/7/14,9283
DC9,DC4,2021/7/14,75
DC9,DC5,2021/7/14,9568
DC9,DC8,2021/7/14,98
DC9,DC10,2021/7/14,227
DC10,DC3,2021/7/14,13000
DC10,DC4,2021/7/14,18
DC10,DC5,2021/7/14,6784
DC10,DC8,2021/7/14,27
DC10,DC9,2021/7/14,387
DC3,DC5,2021/7/15,7
DC3,DC10,2021/7/15,41
DC5,DC3,2021/7/15,3
DC5,DC10,2021/7/15,3
DC7,DC3,2021/7/15,480
DC7,DC4,2021/7/15,170
DC7,DC5,2021/7/15,360
DC7,DC8,2021/7/15,17
DC7,DC9,2021/7/15,1089
DC7,DC10,2021/7/15,5
DC9,DC3,2021/7/15,9121
DC9,DC4,2021/7/15,2114
DC9,DC5,2021/7/15,14950
DC9,DC8,2021/7/15,2225
DC9,DC10,2021/7/15,386
DC10,DC3,2021/7/15,13224
DC10,DC4,2021/7/15,28
DC10,DC5,2021/7/15,5296
DC10,DC8,2021/7/15,68
DC10,DC9,2021/7/15,94
DC3,DC5,2021/7/16,5
DC3,DC10,2021/7/16,4
DC4,DC9,2021/7/16,9
DC4,DC10,2021/7/16,1
DC5,DC3,2021/7/16,55
DC5,DC10,2021/7/16,85
DC7,DC3,2021/7/16,315
DC7,DC4,2021/7/16,15
DC7,DC5,2021/7/16,509
DC7,DC8,2021/7/16,6
DC7,DC10,2021/7/16,2700
DC8,DC4,2021/7/16,53
DC8,DC9,2021/7/16,2
DC9,DC3,2021/7/16,327
DC9,DC4,2021/7/16,966
DC9,DC5,2021/7/16,363
DC9,DC8,2021/7/16,832
DC9,DC10,2021/7/16,23
DC10,DC3,2021/7/16,10274
DC10,DC4,2021/7/16,336
DC10,DC5,2021/7/16,11727
DC10,DC8,2021/7/16,666
DC3,DC10,2021/7/17,4
DC4,DC8,2021/7/17,3
DC5,DC3,2021/7/17,80
DC5,DC8,2021/7/17,1
DC5,DC10,2021/7/17,1014
DC7,DC3,2021/7/17,379
DC7,DC4,2021/7/17,3
DC7,DC5,2021/7/17,295
DC7,DC8,2021/7/17,22
DC7,DC10,2021/7/17,3935
DC8,DC3,2021/7/17,60
DC8,DC4,2021/7/17,43
DC8,DC5,2021/7/17,29
DC9,DC3,2021/7/17,17
DC9,DC4,2021/7/17,124
DC9,DC5,2021/7/17,31
DC9,DC8,2021/7/17,75
DC10,DC3,2021/7/17,5009
DC10,DC4,2021/7/17,147
DC10,DC5,2021/7/17,5196
DC10,DC8,2021/7/17,341
DC3,DC5,2021/7/18,6
DC3,DC8,2021/7/18,3
DC3,DC10,2021/7/18,7
DC4,DC3,2021/7/18,2
DC4,DC5,2021/7/18,1
DC4,DC8,2021/7/18,4
DC4,DC10,2021/7/18,1
DC5,DC3,2021/7/18,134
DC5,DC4,2021/7/18,3
DC5,DC8,2021/7/18,2
DC5,DC10,2021/7/18,571
DC7,DC3,2021/7/18,136
DC7,DC4,2021/7/18,4
DC7,DC5,2021/7/18,242
DC7,DC10,2021/7/18,1476
DC8,DC4,2021/7/18,19
DC8,DC5,2021/7/18,5
DC9,DC3,2021/7/18,6
DC9,DC4,2021/7/18,14
DC9,DC8,2021/7/18,8
DC10,DC3,2021/7/18,13073
DC10,DC4,2021/7/18,157
DC10,DC5,2021/7/18,4166
DC10,DC8,2021/7/18,290
DC3,DC5,2021/7/19,33
DC3,DC10,2021/7/19,51
DC4,DC3,2021/7/19,2
DC4,DC5,2021/7/19,2
DC4,DC8,2021/7/19,8
DC4,DC10,2021/7/19,2
DC5,DC3,2021/7/19,84
DC5,DC8,2021/7/19,2
DC5,DC10,2021/7/19,818
DC7,DC3,2021/7/19,271
DC7,DC4,2021/7/19,2
DC7,DC5,2021/7/19,726
DC7,DC8,2021/7/19,32
DC7,DC10,2021/7/19,2693
DC8,DC3,2021/7/19,85
DC8,DC4,2021/7/19,906
DC8,DC5,2021/7/19,44
DC8,DC10,2021/7/19,13
DC9,DC3,2021/7/19,52
DC9,DC4,2021/7/19,36
DC9,DC5,2021/7/19,9
DC9,DC8,2021/7/19,198
DC9,DC10,2021/7/19,4
DC10,DC3,2021/7/19,13647
DC10,DC4,2021/7/19,264
DC10,DC5,2021/7/19,5593
DC10,DC8,2021/7/19,863
DC10,DC9,2021/7/19,4
DC3,DC5,2021/7/20,1
DC3,DC10,2021/7/20,208
DC4,DC3,2021/7/20,7
DC4,DC8,2021/7/20,5
DC4,DC9,2021/7/20,1
DC4,DC10,2021/7/20,19
DC5,DC3,2021/7/20,218
DC5,DC10,2021/7/20,1907
DC7,DC3,2021/7/20,312
DC7,DC4,2021/7/20,15
DC7,DC5,2021/7/20,614
DC7,DC8,2021/7/20,8
DC7,DC10,2021/7/20,3703
DC8,DC3,2021/7/20,68
DC8,DC4,2021/7/20,256
DC8,DC5,2021/7/20,96
DC8,DC10,2021/7/20,56
DC9,DC3,2021/7/20,17
DC9,DC4,2021/7/20,100
DC9,DC5,2021/7/20,18
DC9,DC8,2021/7/20,136
DC9,DC10,2021/7/20,1
DC10,DC3,2021/7/20,8811
DC10,DC4,2021/7/20,273
DC10,DC5,2021/7/20,15599
DC10,DC8,2021/7/20,375
DC10,DC9,2021/7/20,1
DC3,DC5,2021/7/21,55
DC3,DC10,2021/7/21,400
DC4,DC3,2021/7/21,1
DC4,DC8,2021/7/21,11
DC4,DC10,2021/7/21,61
DC5,DC3,2021/7/21,218
DC5,DC8,2021/7/21,2
DC5,DC10,2021/7/21,1684
DC7,DC3,2021/7/21,898
DC7,DC4,2021/7/21,10
DC7,DC5,2021/7/21,377
DC7,DC8,2021/7/21,11
DC7,DC10,2021/7/21,3736
DC8,DC3,2021/7/21,25
DC8,DC4,2021/7/21,63
DC8,DC5,2021/7/21,25
DC8,DC10,2021/7/21,9
DC9,DC3,2021/7/21,5
DC9,DC4,2021/7/21,14
DC9,DC8,2021/7/21,5
DC10,DC3,2021/7/21,8960
DC10,DC4,2021/7/21,393
DC10,DC5,2021/7/21,13584
DC10,DC8,2021/7/21,309
DC10,DC9,2021/7/21,4
DC3,DC5,2021/7/22,45
DC3,DC10,2021/7/22,43
DC4,DC3,2021/7/22,3
DC4,DC5,2021/7/22,1
DC4,DC8,2021/7/22,14
DC4,DC10,2021/7/22,13
DC5,DC3,2021/7/22,81
DC5,DC4,2021/7/22,2
DC5,DC10,2021/7/22,522
DC7,DC3,2021/7/22,433
DC7,DC4,2021/7/22,7
DC7,DC5,2021/7/22,511
DC7,DC8,2021/7/22,16
DC7,DC10,2021/7/22,1378
DC8,DC3,2021/7/22,1
DC8,DC4,2021/7/22,13
DC8,DC5,2021/7/22,8
DC8,DC10,2021/7/22,8
DC9,DC3,2021/7/22,1
DC9,DC4,2021/7/22,6
DC10,DC3,2021/7/22,13113
DC10,DC4,2021/7/22,50
DC10,DC5,2021/7/22,14241
DC10,DC8,2021/7/22,180
DC10,DC9,2021/7/22,4
DC3,DC5,2021/7/23,41
DC3,DC8,2021/7/23,2
DC3,DC10,2021/7/23,181
DC4,DC8,2021/7/23,6
DC4,DC9,2021/7/23,1
DC4,DC10,2021/7/23,6
DC5,DC3,2021/7/23,179
DC5,DC4,2021/7/23,2
DC5,DC8,2021/7/23,8
DC5,DC10,2021/7/23,997
DC7,DC3,2021/7/23,633
DC7,DC4,2021/7/23,7
DC7,DC5,2021/7/23,420
DC7,DC8,2021/7/23,8
DC7,DC10,2021/7/23,2206
DC8,DC3,2021/7/23,14
DC8,DC4,2021/7/23,85
DC8,DC5,2021/7/23,20
DC8,DC9,2021/7/23,4
DC8,DC10,2021/7/23,2
DC10,DC3,2021/7/23,12222
DC10,DC4,2021/7/23,191
DC10,DC5,2021/7/23,10457
DC10,DC8,2021/7/23,348
DC10,DC9,2021/7/23,3
DC3,DC5,2021/7/24,118
DC3,DC8,2021/7/24,3
DC3,DC10,2021/7/24,318
DC4,DC3,2021/7/24,1
DC4,DC8,2021/7/24,3
DC4,DC9,2021/7/24,2
DC4,DC10,2021/7/24,15
DC5,DC3,2021/7/24,89
DC5,DC10,2021/7/24,591
DC7,DC3,2021/7/24,419
DC7,DC4,2021/7/24,15
DC7,DC5,2021/7/24,386
DC7,DC8,2021/7/24,5
DC7,DC10,2021/7/24,3788
DC8,DC3,2021/7/24,18
DC8,DC4,2021/7/24,14
DC8,DC5,2021/7/24,34
DC10,DC3,2021/7/24,13682
DC10,DC4,2021/7/24,112
DC10,DC5,2021/7/24,12742
DC10,DC8,2021/7/24,226
DC3,DC4,2021/7/25,5
DC3,DC5,2021/7/25,13
DC3,DC8,2021/7/25,2
DC3,DC10,2021/7/25,7
DC4,DC8,2021/7/25,7
DC5,DC3,2021/7/25,77
DC5,DC8,2021/7/25,2
DC5,DC10,2021/7/25,346
DC7,DC3,2021/7/25,304
DC7,DC4,2021/7/25,5
DC7,DC5,2021/7/25,310
DC7,DC8,2021/7/25,13
DC7,DC10,2021/7/25,2672
DC8,DC3,2021/7/25,17
DC8,DC4,2021/7/25,70
DC8,DC5,2021/7/25,28
DC8,DC10,2021/7/25,1
DC9,DC3,2021/7/25,3
DC10,DC3,2021/7/25,14786
DC10,DC4,2021/7/25,103
DC10,DC5,2021/7/25,10538
DC10,DC8,2021/7/25,252
DC3,DC5,2021/7/26,241
DC3,DC10,2021/7/26,3
DC4,DC5,2021/7/26,1
DC4,DC8,2021/7/26,6
DC4,DC10,2021/7/26,13
DC5,DC3,2021/7/26,87
DC5,DC10,2021/7/26,583
DC7,DC3,2021/7/26,619
DC7,DC4,2021/7/26,11
DC7,DC5,2021/7/26,291
DC7,DC8,2021/7/26,12
DC7,DC10,2021/7/26,2306
DC8,DC3,2021/7/26,21
DC8,DC4,2021/7/26,37
DC8,DC5,2021/7/26,22
DC9,DC5,2021/7/26,3
DC10,DC3,2021/7/26,10318
DC10,DC4,2021/7/26,444
DC10,DC5,2021/7/26,8507
DC10,DC8,2021/7/26,347
DC10,DC9,2021/7/26,85
DC3,DC5,2021/7/27,13
DC4,DC8,2021/7/27,9
DC4,DC10,2021/7/27,2
DC5,DC3,2021/7/27,166
DC5,DC8,2021/7/27,16
DC5,DC10,2021/7/27,952
DC7,DC3,2021/7/27,281
DC7,DC4,2021/7/27,22
DC7,DC5,2021/7/27,385
DC7,DC8,2021/7/27,5
DC7,DC10,2021/7/27,1614
DC8,DC4,2021/7/27,21
DC8,DC5,2021/7/27,5
DC8,DC10,2021/7/27,6
DC10,DC3,2021/7/27,12525
DC10,DC4,2021/7/27,154
DC10,DC5,2021/7/27,16363
DC10,DC8,2021/7/27,660
DC10,DC9,2021/7/27,6
DC3,DC5,2021/7/28,6
DC3,DC10,2021/7/28,3
DC4,DC5,2021/7/28,2
DC4,DC8,2021/7/28,2
DC5,DC3,2021/7/28,84
DC5,DC4,2021/7/28,4
DC5,DC8,2021/7/28,2
DC5,DC10,2021/7/28,649
DC7,DC3,2021/7/28,408
DC7,DC4,2021/7/28,10
DC7,DC5,2021/7/28,371
DC7,DC8,2021/7/28,26
DC7,DC10,2021/7/28,4037
DC8,DC3,2021/7/28,14
DC8,DC4,2021/7/28,56
DC8,DC5,2021/7/28,41
DC8,DC10,2021/7/28,1
DC10,DC3,2021/7/28,9023
DC10,DC4,2021/7/28,414
DC10,DC5,2021/7/28,22517
DC10,DC8,2021/7/28,288
DC10,DC9,2021/7/28,4
DC3,DC5,2021/7/29,6
DC3,DC10,2021/7/29,4
DC4,DC3,2021/7/29,2
DC4,DC8,2021/7/29,6
DC4,DC10,2021/7/29,3
DC5,DC3,2021/7/29,83
DC5,DC4,2021/7/29,18
DC5,DC8,2021/7/29,8
DC5,DC10,2021/7/29,709
DC7,DC3,2021/7/29,503
DC7,DC4,2021/7/29,11
DC7,DC5,2021/7/29,216
DC7,DC8,2021/7/29,8
DC7,DC10,2021/7/29,1830
DC8,DC3,2021/7/29,20
DC8,DC4,2021/7/29,17
DC8,DC5,2021/7/29,25
DC9,DC8,2021/7/29,18
DC10,DC3,2021/7/29,6017
DC10,DC4,2021/7/29,457
DC10,DC5,2021/7/29,32524
DC10,DC8,2021/7/29,605
DC10,DC9,2021/7/29,3
DC3,DC5,2021/7/30,3
DC4,DC3,2021/7/30,6
DC4,DC8,2021/7/30,5
DC4,DC9,2021/7/30,4
DC4,DC10,2021/7/30,2
DC5,DC3,2021/7/30,68
DC5,DC4,2021/7/30,2
